PassengerId,Survived,Pclass,Age,SibSp,Parch,Fare,Sex,Cabin,Embarked
1.0,0.0,3.0,22.0,1.0,0.0,7.25,male,A10,S
2.0,1.0,1.0,38.0,1.0,0.0,71.2833,female,C85,C
3.0,1.0,3.0,26.0,0.0,0.0,7.925,female,A10,S
4.0,1.0,1.0,35.0,1.0,0.0,53.1,female,C123,S
5.0,0.0,3.0,35.0,0.0,0.0,8.05,male,A10,S
6.0,0.0,3.0,31.487683394899673,0.0,0.0,8.4583,male,A10,Q
7.0,0.0,1.0,54.0,0.0,0.0,51.8625,male,E46,S
8.0,0.0,3.0,2.0,3.0,1.0,21.075,male,A10,S
9.0,1.0,3.0,27.0,0.0,2.0,11.1333,female,A10,S
10.0,1.0,2.0,14.0,1.0,0.0,30.0708,female,A10,C
11.0,1.0,3.0,4.0,1.0,1.0,16.7,female,G6,S
12.0,1.0,1.0,58.0,0.0,0.0,26.55,female,C103,S
13.0,0.0,3.0,20.0,0.0,0.0,8.05,male,A10,S
14.0,0.0,3.0,39.0,1.0,5.0,31.275,male,A10,S
15.0,0.0,3.0,14.0,0.0,0.0,7.8542,female,A10,S
16.0,1.0,2.0,55.0,0.0,0.0,16.0,female,A10,S
17.0,0.0,3.0,2.0,4.0,1.0,29.125,male,A10,Q
18.0,1.0,2.0,36.59167216471208,0.0,0.0,13.0,male,A10,S
19.0,0.0,3.0,31.0,1.0,0.0,18.0,female,A10,S
20.0,1.0,3.0,20.271485972591133,0.0,0.0,7.225,female,A10,C
21.0,0.0,2.0,35.0,0.0,0.0,26.0,male,A10,S
22.0,1.0,2.0,34.0,0.0,0.0,13.0,male,D56,S
23.0,1.0,3.0,15.0,0.0,0.0,8.0292,female,A10,Q
24.0,1.0,1.0,28.0,0.0,0.0,35.5,male,A6,S
25.0,0.0,3.0,8.0,3.0,1.0,21.075,female,A10,S
26.0,1.0,3.0,38.0,1.0,5.0,31.3875,female,A10,S
27.0,0.0,3.0,27.450468701119853,0.0,0.0,7.225,male,A10,C
28.0,0.0,1.0,19.0,3.0,2.0,263.0,male,C23 C25 C27,S
29.0,1.0,3.0,34.218203967307474,0.0,0.0,7.8792,female,A10,Q
30.0,0.0,3.0,40.496162310202095,0.0,0.0,7.8958,male,A10,S
31.0,0.0,1.0,40.0,0.0,0.0,27.7208,male,A10,C
32.0,1.0,1.0,39.110817107818065,1.0,0.0,146.5208,female,B78,C
33.0,1.0,3.0,43.52583930082781,0.0,0.0,7.75,female,A10,Q
34.0,0.0,2.0,66.0,0.0,0.0,10.5,male,A10,S
35.0,0.0,1.0,28.0,1.0,0.0,82.1708,male,A10,C
36.0,0.0,1.0,42.0,1.0,0.0,52.0,male,A10,S
37.0,1.0,3.0,27.766230158049282,0.0,0.0,7.2292,male,A10,C
38.0,0.0,3.0,21.0,0.0,0.0,8.05,male,A10,S
39.0,0.0,3.0,18.0,2.0,0.0,18.0,female,A10,S
40.0,1.0,3.0,14.0,1.0,0.0,11.2417,female,A10,C
41.0,0.0,3.0,40.0,1.0,0.0,9.475,female,A10,S
42.0,0.0,2.0,27.0,1.0,0.0,21.0,female,A10,S
43.0,0.0,3.0,24.956854798687456,0.0,0.0,7.8958,male,A10,C
44.0,1.0,2.0,3.0,1.0,2.0,41.5792,female,A10,C
45.0,1.0,3.0,19.0,0.0,0.0,7.8792,female,A10,Q
46.0,0.0,3.0,21.637558211405352,0.0,0.0,8.05,male,A10,S
47.0,0.0,3.0,18.960371691032293,1.0,0.0,15.5,male,A10,Q
48.0,1.0,3.0,21.14619942897352,0.0,0.0,7.75,female,A10,Q
49.0,0.0,3.0,20.898572948023737,2.0,0.0,21.6792,male,A10,C
50.0,0.0,3.0,18.0,1.0,0.0,17.8,female,A10,S
51.0,0.0,3.0,7.0,4.0,1.0,39.6875,male,A10,S
52.0,0.0,3.0,21.0,0.0,0.0,7.8,male,A10,S
53.0,1.0,1.0,49.0,1.0,0.0,76.7292,female,D33,C
54.0,1.0,2.0,29.0,1.0,0.0,26.0,female,A10,S
55.0,0.0,1.0,65.0,0.0,1.0,61.9792,male,B30,C
56.0,1.0,1.0,10.876568878959631,0.0,0.0,35.5,male,C52,S
57.0,1.0,2.0,21.0,0.0,0.0,10.5,female,A10,S
58.0,0.0,3.0,28.5,0.0,0.0,7.2292,male,A10,C
59.0,1.0,2.0,5.0,1.0,2.0,27.75,female,A10,S
60.0,0.0,3.0,11.0,5.0,2.0,46.9,male,A10,S
61.0,0.0,3.0,22.0,0.0,0.0,7.2292,male,A10,C
62.0,1.0,1.0,38.0,0.0,0.0,80.0,female,B28,C
63.0,0.0,1.0,45.0,1.0,0.0,83.475,male,C83,S
64.0,0.0,3.0,4.0,3.0,2.0,27.9,male,A10,S
65.0,0.0,1.0,7.207865752036298,0.0,0.0,27.7208,male,A10,C
66.0,1.0,3.0,26.910597810831835,1.0,1.0,15.2458,male,A10,C
67.0,1.0,2.0,29.0,0.0,0.0,10.5,female,F33,S
68.0,0.0,3.0,19.0,0.0,0.0,8.1583,male,A10,S
69.0,1.0,3.0,17.0,4.0,2.0,7.925,female,A10,S
70.0,0.0,3.0,26.0,2.0,0.0,8.6625,male,A10,S
71.0,0.0,2.0,32.0,0.0,0.0,10.5,male,A10,S
72.0,0.0,3.0,16.0,5.0,2.0,46.9,female,A10,S
73.0,0.0,2.0,21.0,0.0,0.0,73.5,male,A10,S
74.0,0.0,3.0,26.0,1.0,0.0,14.4542,male,A10,C
75.0,1.0,3.0,32.0,0.0,0.0,56.4958,male,A10,S
76.0,0.0,3.0,25.0,0.0,0.0,7.65,male,F G73,S
77.0,0.0,3.0,25.43906555340039,0.0,0.0,7.8958,male,A10,S
78.0,0.0,3.0,25.54530230752689,0.0,0.0,8.05,male,A10,S
79.0,1.0,2.0,0.83,0.0,2.0,29.0,male,A10,S
80.0,1.0,3.0,30.0,0.0,0.0,12.475,female,A10,S
81.0,0.0,3.0,22.0,0.0,0.0,9.0,male,A10,S
82.0,1.0,3.0,29.0,0.0,0.0,9.5,male,A10,S
83.0,1.0,3.0,24.39321800164156,0.0,0.0,7.7875,female,A10,Q
84.0,0.0,1.0,28.0,0.0,0.0,47.1,male,A10,S
85.0,1.0,2.0,17.0,0.0,0.0,10.5,female,A10,S
86.0,1.0,3.0,33.0,3.0,0.0,15.85,female,A10,S
87.0,0.0,3.0,16.0,1.0,3.0,34.375,male,A10,S
88.0,0.0,3.0,24.130862862364005,0.0,0.0,8.05,male,A10,S
89.0,1.0,1.0,23.0,3.0,2.0,263.0,female,C23 C25 C27,S
90.0,0.0,3.0,24.0,0.0,0.0,8.05,male,A10,S
91.0,0.0,3.0,29.0,0.0,0.0,8.05,male,A10,S
92.0,0.0,3.0,20.0,0.0,0.0,7.8542,male,A10,S
93.0,0.0,1.0,46.0,1.0,0.0,61.175,male,E31,S
94.0,0.0,3.0,26.0,1.0,2.0,20.575,male,A10,S
95.0,0.0,3.0,59.0,0.0,0.0,7.25,male,A10,S
96.0,0.0,3.0,51.597356424171096,0.0,0.0,8.05,male,A10,S
97.0,0.0,1.0,71.0,0.0,0.0,34.6542,male,A5,C
98.0,1.0,1.0,23.0,0.0,1.0,63.3583,male,D10 D12,C
99.0,1.0,2.0,34.0,0.0,1.0,23.0,female,A10,S
100.0,0.0,2.0,34.0,1.0,0.0,26.0,male,A10,S
101.0,0.0,3.0,28.0,0.0,0.0,7.8958,female,A10,S
102.0,0.0,3.0,30.112437984410906,0.0,0.0,7.8958,male,A10,S
103.0,0.0,1.0,21.0,0.0,1.0,77.2875,male,D26,S
104.0,0.0,3.0,33.0,0.0,0.0,8.6542,male,A10,S
105.0,0.0,3.0,37.0,2.0,0.0,7.925,male,A10,S
106.0,0.0,3.0,28.0,0.0,0.0,7.8958,male,A10,S
107.0,1.0,3.0,21.0,0.0,0.0,7.65,female,A10,S
108.0,1.0,3.0,31.087226876575006,0.0,0.0,7.775,male,A10,S
109.0,0.0,3.0,38.0,0.0,0.0,7.8958,male,A10,S
110.0,1.0,3.0,25.714246812005957,1.0,0.0,24.15,female,A10,Q
111.0,0.0,1.0,47.0,0.0,0.0,52.0,male,C110,S
112.0,0.0,3.0,14.5,1.0,0.0,14.4542,female,A10,C
113.0,0.0,3.0,22.0,0.0,0.0,8.05,male,A10,S
114.0,0.0,3.0,20.0,1.0,0.0,9.825,female,A10,S
115.0,0.0,3.0,17.0,0.0,0.0,14.4583,female,A10,C
116.0,0.0,3.0,21.0,0.0,0.0,7.925,male,A10,S
117.0,0.0,3.0,70.5,0.0,0.0,7.75,male,A10,Q
118.0,0.0,2.0,29.0,1.0,0.0,21.0,male,A10,S
119.0,0.0,1.0,24.0,0.0,1.0,247.5208,male,B58 B60,C
120.0,0.0,3.0,2.0,4.0,2.0,31.275,female,A10,S
121.0,0.0,2.0,21.0,2.0,0.0,73.5,male,A10,S
122.0,0.0,3.0,33.66556609808086,0.0,0.0,8.05,male,A10,S
